,GSE_X,GSE_Y,GSE_Z,RANGE,HGLAT,HGLONG,CRN(E)
2022-01-01 00:00:00,193.7970394763249,-17.878676232361244,14.884541712135466,145.87194530473604,-2.979380534680281,142.49460364903575,2252.0
2022-01-01 00:10:00,193.79703032612105,-17.850402251489495,14.885283952649734,145.87193318585233,-2.979380534680281,142.43730786952267,2252.0
2022-01-01 00:20:00,193.7970203182816,-17.822126055189713,14.886024868297271,145.87192109878202,-2.979380534680281,142.3227163104965,2252.0
2022-01-01 00:30:00,193.79700945280652,-17.79384765130135,14.886764459078082,145.871909043521,-2.979380534680281,142.20812475147034,2252.0
2022-01-01 00:40:00,193.79699772812796,-17.76556704296018,14.88750272499216,145.87189702007913,-2.979380534680281,142.15082897195722,2252.0
2022-01-01 00:50:00,193.79698514267795,-17.737284236437755,14.888239666039512,145.87188502845046,-2.979380534680281,142.0362374129311,2252.0
2022-01-01 01:00:00,193.7969716948887,-17.708999234869864,14.88897528222013,145.8718730686466,-2.979380534680281,141.978941633418,2252.0
2022-01-01 01:10:00,193.7969573816243,-17.680712044528065,14.889709575101913,145.87186114067137,-2.979380534680281,141.86435007439184,2252.0
2022-01-01 01:20:00,193.79694220131702,-17.652422670116025,14.890442543116965,145.87184924451668,-2.979380534680281,141.74975851536567,2252.0
2022-01-01 01:30:00,193.79692615239887,-17.62413111633741,14.891174186265287,145.87183738020406,-2.979380534680281,141.6924627358526,2252.0
2022-01-01 01:40:00,193.79690923486987,-17.59583738789589,14.891904507682659,145.87182554771925,-2.979380534680281,141.57787117682642,2252.0
2022-01-01 01:50:00,193.79689144402633,-17.56754149106303,14.892633504233302,145.87181374706213,-2.979380534680281,141.52057539731334,2252.0
2022-01-01 02:00:00,193.79687277830038,-17.5392434289746,14.893361179052995,145.87180197825606,-2.979380534680281,141.40598383828717,2252.0
2022-01-01 02:10:00,193.79685323769206,-17.510943209470053,14.89408752900596,145.87179024129102,-2.979380534680281,141.29139227926103,2252.0
2022-01-01 02:20:00,193.79683282063343,-17.48264083411728,14.894812557227972,145.87177853616427,-2.979380534680281,141.23409649974792,2252.0
2022-01-01 02:30:00,193.7968115239887,-17.454336309187834,14.895536262151145,145.87176686288555,-2.979380534680281,141.11950494072175,2252.0
2022-01-01 02:40:00,193.79678934619002,-17.426029640953278,14.896258643775477,145.87175522145643,-2.979380534680281,141.0622091612087,2252.0
2022-01-01 02:50:00,193.7967662856695,-17.39772083254939,14.896979703668862,145.871743611892,-2.979380534680281,140.9476176021825,2252.0
2022-01-01 03:00:00,193.7967423408592,-17.369409890247727,14.897699441831294,145.87173203417234,-2.979380534680281,140.83302604315637,2252.0
2022-01-01 03:10:00,193.7967175086234,-17.34109681718407,14.898417856694888,145.87172048830882,-2.979380534680281,140.77573026364325,2252.0
2022-01-01 03:20:00,193.79669178896205,-17.312781621197868,14.899134951395421,145.87170897431642,-2.979380534680281,140.66113870461712,2252.0
2022-01-01 03:30:00,193.7966651803073,-17.284464305424898,14.899850722797115,145.871697492177,-2.979380534680281,140.60384292510403,2252.0
2022-01-01 03:40:00,193.79663767952337,-17.25614487456883,14.900565174035748,145.87168604191157,-2.979380534680281,140.48925136607787,2252.0
2022-01-01 03:50:00,193.79660928661022,-17.227823334901224,14.901278301975541,145.8716746235119,-2.979380534680281,140.3746598070517,2252.0
2022-01-01 04:00:00,193.7965799984321,-17.199499691125745,14.901990109752273,145.8716632369909,-2.979380534680281,140.3173640275386,2252.0
2022-01-01 04:10:00,193.7965498134211,-17.171173947946066,14.902700597365946,145.87165188234198,-2.979380534680281,140.20277246851245,2252.0
2022-01-01 04:20:00,193.7965187300094,-17.142846110065854,14.903409763248668,145.8716405595647,-2.979380534680281,140.14547668899937,2252.0
2022-01-01 04:30:00,193.79648674662903,-17.114516182188776,14.904117608968328,145.87162926867381,-2.979380534680281,140.0308851299732,2252.0
