; PROGRAM=VOFLX_CR5A
; VERSION= V2.6    05-MAY-2016     
; RUN_TIME=22-Oct-14 17:17:26  
; SECTORS_SELECTED=1,2,3,5,6,7       
;
;
;
;  s/c	  Start_Year	   Start_Day	   End_Year	    End_Day	  Ave._Year	  Std._Year	   Z	   A	          E/n	      (delta)E/2	         Emin	         Emax	      Raw_Flux	     Raw_Sigma	     Alpha	    dAlpha	          Flux	         sigma	S1	S2	S3	S4	S5	S6	S7	S8	SU
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   6	  12	       2.0930	          0.5180	       1.5750	       2.6110	    5.9161E-06	    1.6408E-06	    -1.000	    -1.000	    5.9161E-06	    1.6408E-06	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   6	  12	       3.2775	          0.6665	       2.6110	       3.9440	    2.8147E-06	    9.9517E-07	    -1.000	    -1.000	    2.8147E-06	    9.9517E-07	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   6	  12	       5.4485	          1.5045	       3.9440	       6.9530	    4.7894E-06	    8.6020E-07	    -1.000	    -1.000	    4.7894E-06	    8.6020E-07	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   6	  12	      11.6275	          1.9985	       9.6290	      13.6260	    7.2273E-07	    1.1152E-07	    -1.000	    -1.000	    7.2273E-07	    1.1152E-07	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   6	  12	      16.4285	          2.8025	      13.6260	      19.2310	    8.6012E-07	    1.0281E-07	    -1.000	    -1.000	    8.6012E-07	    1.0281E-07	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   6	  12	      23.5080	          4.2770	      19.2310	      27.7850	    5.4619E-07	    6.6235E-08	    -1.000	    -1.000	    5.4619E-07	    6.6235E-08	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   6	  12	      32.4080	          4.6230	      27.7850	      37.0310	    5.2017E-07	    6.2172E-08	    -1.000	    -1.000	    5.2017E-07	    6.2172E-08	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   6	  12	      46.6195	          7.4485	      39.1710	      54.0680	    1.2809E-06	    8.3206E-08	    -1.000	    -1.000	    1.2809E-06	    8.3206E-08	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   7	  14	       0.8370	          0.1770	       0.6600	       1.0140	    7.0587E-05	    9.6959E-06	    -1.000	    -1.000	    7.0587E-05	    9.6959E-06	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   7	  14	       1.3115	          0.2975	       1.0140	       1.6090	    9.8256E-05	    8.8236E-06	    -1.000	    -1.000	    9.8256E-05	    8.8236E-06	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   7	  14	       2.1730	          0.5640	       1.6090	       2.7370	    7.0219E-05	    5.4175E-06	    -1.000	    -1.000	    7.0219E-05	    5.4175E-06	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   7	  14	       3.4270	          0.6900	       2.7370	       4.1170	    4.0656E-05	    3.7269E-06	    -1.000	    -1.000	    4.0656E-05	    3.7269E-06	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   7	  14	       5.3810	          1.2640	       4.1170	       6.6450	    2.8786E-05	    2.3048E-06	    -1.000	    -1.000	    2.8786E-05	    2.3048E-06	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   7	  14	      11.6955	          1.8135	       9.8820	      13.5090	    7.5962E-06	    3.7934E-07	    -1.000	    -1.000	    7.5962E-06	    3.7934E-07	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   7	  14	      16.3790	          2.8700	      13.5090	      19.2490	    2.8249E-06	    1.8388E-07	    -1.000	    -1.000	    2.8249E-06	    1.8388E-07	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   7	  14	      23.3445	          4.0955	      19.2490	      27.4400	    1.0569E-06	    9.4156E-08	    -1.000	    -1.000	    1.0569E-06	    9.4156E-08	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   7	  14	      32.9870	          5.5470	      27.4400	      38.5340	    4.3352E-07	    5.1816E-08	    -1.000	    -1.000	    4.3352E-07	    5.1816E-08	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   7	  14	      50.8700	          8.2790	      42.5910	      59.1490	    5.2517E-07	    5.0534E-08	    -1.000	    -1.000	    5.2517E-07	    5.0534E-08	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   8	  16	       0.3170	          0.0660	       0.3070	       0.3830	    5.4622E-04	    6.7751E-05	    -1.000	    -1.000	    5.4622E-04	    6.7751E-05	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   8	  16	       0.8235	          0.1775	       0.6460	       1.0010	    5.7695E-04	    2.7663E-05	    -1.000	    -1.000	    5.7695E-04	    2.7663E-05	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   8	  16	       1.2740	          0.2730	       1.0010	       1.5470	    7.3117E-04	    2.5124E-05	    -1.000	    -1.000	    7.3117E-04	    2.5124E-05	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   8	  16	       2.0955	          0.5485	       1.5470	       2.6440	    4.5298E-04	    1.3953E-05	    -1.000	    -1.000	    4.5298E-04	    1.3953E-05	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   8	  16	       3.3470	          0.7030	       2.6440	       4.0500	    2.5552E-04	    9.2565E-06	    -1.000	    -1.000	    2.5552E-04	    9.2565E-06	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   8	  16	       5.4705	          1.4205	       4.0500	       6.8910	    1.4429E-04	    4.8835E-06	    -1.000	    -1.000	    1.4429E-04	    4.8835E-06	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   8	  16	       7.7840	          0.8930	       6.8910	       8.6770	    6.8968E-05	    4.2367E-06	    -1.000	    -1.000	    6.8968E-05	    4.2367E-06	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   8	  16	      12.0065	          1.5665	      10.4400	      13.5730	    3.0987E-05	    8.2435E-07	    -1.000	    -1.000	    3.0987E-05	    8.2435E-07	1	1	1	0	1	1	1	0	0
